bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Mujeeb Ur Rahman,10,0,51,1,5.10,33,4,2,1,0,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,scorecard
Naveen-ul-Haq,6.3,0,52,0,8.00,16,2,4,1,0,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,scorecard
Mohammad Nabi,10,1,35,2,3.50,36,3,0,0,0,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,scorecard
Azmatullah Omarzai,1,0,8,0,8.00,3,0,1,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,scorecard
Rashid Khan,10,1,37,2,3.70,38,2,1,1,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,9,0,49,0,5.44,23,3,0,3,0,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Rahmat Shah,1,0,12,0,12.00,2,1,1,0,0,https://www.espncricinfo.com/cricketers/rahmat-shah-533956,scorecard
Trent Boult,10,3,37,3,3.70,45,6,0,3,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Tim Southee,8,0,52,1,6.50,29,6,3,0,0,https://www.espncricinfo.com/cricketers/tim-southee-232364,scorecard
Lockie Ferguson,10,2,35,2,3.50,43,6,0,0,0,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Mitchell Santner,10,2,22,2,2.20,45,2,0,0,0,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,scorecard
Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,scorecard
Glenn Phillips,1,0,3,0,3.00,3,0,0,0,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,scorecard
Maheesh Theekshana,7,0,43,1,6.14,24,6,1,0,0,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,scorecard
Dhananjaya de Silva,2,0,22,0,11.00,3,1,2,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,scorecard
Dushmantha Chameera,4,1,20,1,5.00,17,1,2,0,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,scorecard
Angelo Mathews,4,0,29,2,7.25,10,4,0,1,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,scorecard
Aryan Dutt,10,0,67,2,6.70,30,5,3,1,1,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,scorecard
Logan van Beek,10,0,88,2,8.80,25,10,1,10,0,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,scorecard
Paul van Meekeren,10,0,57,1,5.70,28,5,0,5,0,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,scorecard
Bas de Leede,10,0,74,3,7.40,26,5,4,0,0,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,scorecard
Roelof van der Merwe,3,0,22,0,7.33,6,0,2,0,0,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,scorecard
Colin Ackermann,7,0,31,0,4.42,15,1,0,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,scorecard
Chris Woakes,7,0,19,1,2.71,33,2,0,2,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
David Willey,7,2,19,2,2.71,33,3,0,0,0,https://www.espncricinfo.com/cricketers/david-willey-308251,scorecard
Gus Atkinson,7,0,41,0,5.85,25,4,2,1,0,https://www.espncricinfo.com/cricketers/gus-atkinson-1039481,scorecard
Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Adil Rashid,8,0,54,3,6.75,22,5,2,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Mitchell Starc,9,0,70,1,7.77,26,4,4,5,0,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,scorecard
Josh Hazlewood,9,0,39,2,4.33,30,2,1,1,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Glenn Maxwell,10,0,55,1,5.50,24,2,1,0,1,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Pat Cummins,8,0,47,0,5.87,25,5,1,1,0,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Adam Zampa,10,0,58,1,5.80,22,2,2,2,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,scorecard
Travis Head,3,0,15,0,5.00,7,1,0,0,0,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Marcus Stoinis,1,0,2,0,2.00,4,0,0,0,0,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,scorecard
Naveen-ul-Haq,9,0,47,2,5.22,34,5,2,1,0,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,scorecard
Azmatullah Omarzai,7,1,52,2,7.42,25,7,2,1,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,scorecard
Rashid Khan,10,0,44,2,4.40,36,3,1,3,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,10,1,53,0,5.30,36,4,2,1,0,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Mohammad Nabi,2,0,20,0,10.00,6,3,1,0,0,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,scorecard
Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0,https://www.espncricinfo.com/cricketers/shoriful-islam-990039,scorecard
Taskin Ahmed,10,1,39,0,3.90,39,5,0,1,0,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,scorecard
Tanzim Hasan Sakib,10,0,80,3,8.00,27,8,4,2,0,https://www.espncricinfo.com/cricketers/tanzim-hasan-sakib-1139520,scorecard
Shakib Al Hasan,10,0,57,2,5.70,23,1,3,0,0,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Mehidy Hasan Miraz,10,0,49,1,4.90,30,6,0,0,0,https://www.espncricinfo.com/cricketers/mehidy-hasan-miraz-629063,scorecard
Dilshan Madushanka,10,1,69,3,6.90,35,7,3,4,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,scorecard
Maheesh Theekshana,9,0,44,2,4.88,34,6,0,3,0,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,scorecard
