bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Colin Ackermann,3.0,0,12,0,4.0,8,0,0,1,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,0.0,33.3,0.0,24.88,44.44,48.15
Colin Ackermann,7.0,0,31,0,4.42,15,1,0,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,0.0,33.3,0.0,24.88,35.71,48.15
Colin Ackermann,4.0,0,19,0,4.75,10,0,1,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,0.0,33.3,0.0,24.88,41.67,48.15
Colin Ackermann,3.0,0,25,0,8.33,5,2,1,1,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,0.0,33.3,0.0,24.88,27.78,48.15
Colin Ackermann,4.0,0,28,0,7.0,9,1,2,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,0.0,33.3,0.0,24.88,37.5,48.15
Colin Ackermann,8.0,1,39,2,4.87,26,1,2,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,24.0,33.3,19.5,24.88,54.17,48.15
Daryl Mitchell,0.3,0,1,0,2.0,2,0,0,0,0,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,2,6.5,0.0,0.0,0.0,0.0,111.11,63.89
Daryl Mitchell,1.0,0,11,0,11.0,1,0,1,0,0,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,2,6.5,0.0,0.0,0.0,0.0,16.67,63.89
Dasun Shanaka,6.0,0,36,0,6.0,10,1,1,0,0,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,2,5.8,0.0,0.0,0.0,0.0,27.78,30.56
Dasun Shanaka,5.0,0,28,0,5.6,10,2,0,0,0,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,2,5.8,0.0,0.0,0.0,0.0,33.33,30.56
David Willey,7.0,2,19,2,2.71,33,3,0,0,0,https://www.espncricinfo.com/cricketers/david-willey-308251,6,5.06,21.0,27.2,9.5,21.23,78.57,61.15
David Willey,10.0,1,48,1,4.8,31,4,0,1,0,https://www.espncricinfo.com/cricketers/david-willey-308251,6,5.06,60.0,27.2,48.0,21.23,51.67,61.15
David Willey,10.0,0,56,3,5.6,37,8,1,2,0,https://www.espncricinfo.com/cricketers/david-willey-308251,6,5.06,20.0,27.2,18.67,21.23,61.67,61.15
David Willey,5.0,0,30,2,6.0,18,5,0,1,0,https://www.espncricinfo.com/cricketers/david-willey-308251,6,5.06,15.0,27.2,15.0,21.23,60.0,61.15
David Willey,10.0,2,45,3,4.5,39,4,2,0,0,https://www.espncricinfo.com/cricketers/david-willey-308251,6,5.06,20.0,27.2,15.0,21.23,65.0,61.15
David Willey,9.0,1,61,0,6.77,27,6,2,3,1,https://www.espncricinfo.com/cricketers/david-willey-308251,6,5.06,0.0,27.2,0.0,21.23,50.0,61.15
Dhananjaya de Silva,4.0,0,39,0,9.75,9,4,2,1,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,37.5,39.76
Dhananjaya de Silva,3.0,0,20,0,6.66,8,3,0,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,44.44,39.76
Dhananjaya de Silva,4.0,0,21,0,5.25,9,2,0,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,37.5,39.76
Dhananjaya de Silva,4.0,0,13,0,3.25,16,0,0,3,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,66.67,39.76
Dhananjaya de Silva,2.0,0,22,0,11.0,3,1,2,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,25.0,39.76
Dhananjaya de Silva,1.0,0,10,0,10.0,2,2,0,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,33.33,39.76
Dhananjaya de Silva,4.0,0,36,0,9.0,7,3,2,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,29.17,39.76
Dhananjaya de Silva,3.0,0,13,0,4.33,8,0,0,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,8,7.4,0.0,0.0,0.0,0.0,44.44,39.76
Dilshan Madushanka,9.0,2,38,3,4.22,34,5,0,1,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,18.0,21.24,12.67,22.99,62.96,51.88
Dilshan Madushanka,5.0,0,37,0,7.4,18,7,0,0,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,0.0,21.24,0.0,22.99,60.0,51.88
Dilshan Madushanka,10.0,1,69,3,6.9,35,7,3,4,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,20.0,21.24,23.0,22.99,58.33,51.88
Dilshan Madushanka,9.0,0,48,2,5.33,28,4,1,3,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,27.0,21.24,24.0,22.99,51.85,51.88
Dilshan Madushanka,10.0,0,80,5,8.0,25,8,2,6,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,12.0,21.24,16.0,22.99,41.67,51.88
Dilshan Madushanka,9.4,1,49,4,5.06,33,4,0,3,1,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,14.1,21.24,12.25,22.99,58.51,51.88
Dilshan Madushanka,9.2,0,60,2,6.42,27,5,1,2,1,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,27.6,21.24,30.0,22.99,48.91,51.88
Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,0.0,21.24,0.0,22.99,43.01,51.88
Dilshan Madushanka,10.0,0,86,2,8.6,25,12,1,3,1,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,9,6.79,30.0,21.24,43.0,22.99,41.67,51.88
Dunith Wellalage,10.0,0,62,0,6.2,24,4,2,0,0,https://www.espncricinfo.com/cricketers/dunith-wellalage-1152427,3,6.66,0.0,57.6,0.0,67.0,40.0,45.85
Dunith Wellalage,10.0,0,81,1,8.1,27,10,3,2,0,https://www.espncricinfo.com/cricketers/dunith-wellalage-1152427,3,6.66,60.0,57.6,81.0,67.0,45.0,45.85
Dunith Wellalage,9.2,0,53,1,5.67,29,6,1,0,0,https://www.espncricinfo.com/cricketers/dunith-wellalage-1152427,3,6.66,55.2,57.6,53.0,67.0,52.54,45.85
Dushan Hemantha,8.0,0,52,0,6.5,17,2,2,0,1,https://www.espncricinfo.com/cricketers/dushan-hemantha-721041,2,5.88,0.0,0.0,0.0,0.0,35.42,41.67
Dushan Hemantha,8.0,0,42,0,5.25,23,3,1,0,0,https://www.espncricinfo.com/cricketers/dushan-hemantha-721041,2,5.88,0.0,0.0,0.0,0.0,47.92,41.67
Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,4,6.08,0.0,42.0,0.0,45.5,52.54,55.53
Dushmantha Chameera,8.0,0,54,0,6.75,25,8,1,2,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,4,6.08,0.0,42.0,0.0,45.5,52.08,55.53
Dushmantha Chameera,4.0,1,20,1,5.0,17,1,2,0,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,4,6.08,24.0,42.0,20.0,45.5,70.83,55.53
Dushmantha Chameera,10.0,2,71,1,7.1,28,8,2,0,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,4,6.08,60.0,42.0,71.0,45.5,46.67,55.53
Fazalhaq Farooqi,5.0,0,19,1,3.8,22,2,0,2,0,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,6,5.91,30.0,29.0,19.0,25.83,73.33,61.12
Fazalhaq Farooqi,6.0,0,50,0,8.33,17,6,2,1,0,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,6,5.91,0.0,29.0,0.0,25.83,47.22,61.12
Fazalhaq Farooqi,7.0,1,39,0,5.57,23,2,2,2,0,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,6,5.91,0.0,29.0,0.0,25.83,54.76,61.12
Fazalhaq Farooqi,5.0,0,36,0,7.2,20,8,0,2,0,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,6,5.91,0.0,29.0,0.0,25.83,66.67,61.12
Fazalhaq Farooqi,10.0,1,34,4,3.4,42,3,1,0,0,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,6,5.91,15.0,29.0,8.5,25.83,70.0,61.12
Fazalhaq Farooqi,7.0,0,50,1,7.14,23,9,0,2,0,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,6,5.91,42.0,29.0,50.0,25.83,54.76,61.12
Gerald Coetzee,8.0,0,57,1,7.12,25,5,3,2,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,48.0,21.99,57.0,23.5,52.08,56.08
Gerald Coetzee,4.0,0,35,3,8.75,13,5,1,1,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,8.0,21.99,11.67,23.5,54.17,56.08
Gerald Coetzee,6.3,0,41,2,6.3,24,5,1,1,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,18.9,21.99,20.5,23.5,63.49,56.08
Gerald Coetzee,7.0,0,42,2,6.0,20,4,1,1,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,21.0,21.99,21.0,23.5,47.62,56.08
Gerald Coetzee,10.0,0,62,3,6.2,36,8,2,1,1,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,20.0,21.99,20.67,23.5,60.0,56.08
Gerald Coetzee,9.0,0,68,3,7.55,26,7,3,1,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,18.0,21.99,22.67,23.5,48.15,56.08
Gerald Coetzee,9.0,0,47,2,5.22,35,8,0,1,1,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,27.0,21.99,23.5,23.5,64.81,56.08
Gerald Coetzee,10.0,1,44,4,4.4,35,5,0,2,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,8,6.44,15.0,21.99,11.0,23.5,58.33,56.08
Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,36.0,48.36,35.0,41.0,52.78,47.28
Glenn Maxwell,9.3,0,36,1,3.78,30,2,0,1,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,55.8,48.36,36.0,41.0,53.76,47.28
Glenn Maxwell,10.0,0,62,1,6.2,22,4,2,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,60.0,48.36,62.0,41.0,36.67,47.28
Glenn Maxwell,5.0,0,40,0,8.0,10,6,0,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,0.0,48.36,0.0,41.0,33.33,47.28
Glenn Maxwell,10.0,0,35,0,3.5,35,3,0,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,0.0,48.36,0.0,41.0,58.33,47.28
Glenn Maxwell,10.0,1,34,2,3.4,32,0,0,2,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,30.0,48.36,17.0,41.0,53.33,47.28
Glenn Maxwell,10.0,0,55,1,5.5,24,2,1,0,1,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,60.0,48.36,55.0,41.0,40.0,47.28
Glenn Maxwell,8.0,0,33,0,4.12,24,1,1,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,8,5.04,0.0,48.36,0.0,41.0,50.0,47.28
Glenn Phillips,5.0,1,42,0,8.4,13,3,3,0,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,10,5.71,0.0,13.67,0.0,11.28,43.33,39.07
Glenn Phillips,5.0,0,33,0,6.6,11,1,2,0,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,10,5.71,0.0,13.67,0.0,11.28,36.67,39.07
Glenn Phillips,2.0,0,12,0,6.0,3,1,0,0,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,10,5.71,0.0,13.67,0.0,11.28,25.0,39.07
Glenn Phillips,10.0,0,37,3,3.7,30,2,0,0,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,10,5.71,20.0,13.67,12.33,11.28,50.0,39.07
