bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Sunil Narine,4,0,12,0,3.00,12,0,0,0,0,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Bhuvneshwar Kumar,4,0,20,0,5.00,14,3,0,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,scorecard
Jason Holder,4,0,32,2,8.00,8,5,0,0,0,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Umran Malik,4,0,27,0,6.75,13,4,0,2,0,https://www.espncricinfo.com/cricketers/umran-malik-1246528,scorecard
Rashid Khan,4,0,23,1,5.75,13,3,0,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Siddarth Kaul,3.4,0,17,1,4.63,11,2,0,0,0,https://www.espncricinfo.com/cricketers/siddarth-kaul-326017,scorecard
Aiden Markram,1,0,5,0,5.00,4,1,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Mohammed Shami,4,0,39,3,9.75,6,3,2,0,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Arshdeep Singh,3,0,42,0,14.00,6,3,3,4,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,scorecard
Ravi Bishnoi,4,0,35,0,8.75,11,3,2,1,0,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,scorecard
Harpreet Brar,4,0,26,0,6.50,14,0,3,0,0,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641,scorecard
Moises Henriques,4,0,12,3,3.00,13,0,0,0,0,https://www.espncricinfo.com/cricketers/moises-henriques-5961,scorecard
Mohammed Siraj,4,0,33,0,8.25,9,4,1,1,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
George Garton,4,0,27,1,6.75,10,1,1,2,1,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
