Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
CS MacLeod,https://www.espncricinfo.com/cricketers/calum-macleod-232435,2021-2021,7,6,-,43,16,7.16,60.56,-,-,2
KA Maharaj,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,2021-2021,5,1,-,-,-,0.00,0.00,-,-,1
Mahedi Hasan,https://www.espncricinfo.com/cricketers/mahedi-hasan-833087,2021-2021,8,6,2,53,27,13.25,110.41,-,-,2
Mahmudullah,https://www.espncricinfo.com/cricketers/mahmudullah-56025,2021-2021,8,8,2,169,50,28.16,120.71,-,1,-
DJ Malan,https://www.espncricinfo.com/cricketers/dawid-malan-236489,2021-2021,6,5,1,116,41,29.00,119.58,-,-,-
AK Markram,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2021-2021,5,5,2,162,52*,54.00,145.94,-,2,1
MR Marsh,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,2021-2021,6,5,2,185,77*,61.66,146.82,-,2,-
GJ Maxwell,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,2021-2021,7,7,3,64,28*,16.00,100.00,-,-,-
DA Miller,https://www.espncricinfo.com/cricketers/david-miller-321777,2021-2021,5,3,2,44,23*,44.00,133.33,-,-,-
TS Mills,https://www.espncricinfo.com/cricketers/tymal-mills-459257,2021-2021,4,-,-,-,-,0.00,0.00,-,-,-
AF Milne,https://www.espncricinfo.com/cricketers/adam-milne-450860,2021-2021,6,-,-,-,-,0.00,0.00,-,-,-
DJ Mitchell,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,2021-2021,7,7,1,208,72*,34.66,140.54,-,1,-
Mohammad Hafeez,https://www.espncricinfo.com/cricketers/mohammad-hafeez-41434,2021-2021,6,5,2,85,32*,28.33,163.46,-,-,-
Mohammad Nabi,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,2021-2021,5,5,3,127,35*,63.50,120.95,-,-,-
Mohammad Nadeem,https://www.espncricinfo.com/cricketers/mohammad-nadeem-41984,2021-2021,3,2,1,39,25,39.00,118.18,-,-,-
Mohammad Naim,https://www.espncricinfo.com/cricketers/mohammad-naim-990081,2021-2021,7,7,-,174,64,24.85,110.82,-,2,1
Mohammad Rizwan,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,2021-2021,6,6,2,281,79*,70.25,127.72,-,3,-
Mohammad Saifuddin,https://www.espncricinfo.com/cricketers/mohammad-saifuddin-629070,2021-2021,4,3,2,24,19*,24.00,266.66,-,-,1
Mohammad Shahzad,https://www.espncricinfo.com/cricketers/mohammad-shahzad-419873,2021-2021,5,5,-,79,45,15.80,109.72,-,-,1
Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,2021-2021,5,2,2,-,0*,0.00,0.00,-,-,-
