bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Chris Jordan,3.0,0,31,0,10.33,9,2,2,3,0,scorecard,6,6.76,0.0,10.67,0.0,8.22,50.0,46.53
Chris Jordan,2.0,0,7,1,3.5,9,1,0,0,0,scorecard,6,6.76,12.0,10.67,7.0,8.22,75.0,46.53
Chris Jordan,4.0,0,24,2,6.0,11,3,0,0,0,scorecard,6,6.76,12.0,10.67,12.0,8.22,45.83,46.53
Chris Jordan,4.0,0,36,0,9.0,6,2,2,0,0,scorecard,6,6.76,0.0,10.67,0.0,8.22,25.0,46.53
Chris Jordan,4.0,0,17,3,4.25,12,1,0,0,0,scorecard,6,6.76,8.0,10.67,5.67,8.22,50.0,46.53
Chris Jordan,2.0,0,15,0,7.5,4,1,0,3,0,scorecard,6,6.76,0.0,10.67,0.0,8.22,33.33,46.53
Chris Woakes,4.0,0,43,0,10.75,8,2,4,0,0,scorecard,6,7.42,0.0,14.76,0.0,15.7,33.33,48.91
Chris Woakes,2.3,0,25,1,10.0,6,2,2,0,0,scorecard,6,7.42,13.8,14.76,25.0,15.7,43.48,48.91
Chris Woakes,4.0,1,36,2,9.0,11,3,2,0,0,scorecard,6,7.42,12.0,14.76,18.0,15.7,45.83,48.91
Chris Woakes,4.0,0,12,1,3.0,14,0,0,0,0,scorecard,6,7.42,24.0,14.76,12.0,15.7,58.33,48.91
Chris Woakes,4.0,0,23,2,5.75,15,0,2,2,0,scorecard,6,7.42,12.0,14.76,11.5,15.7,62.5,48.91
Chris Woakes,2.0,0,12,1,6.0,6,2,0,0,0,scorecard,6,7.42,12.0,14.76,12.0,15.7,50.0,48.91
Colin Ackermann,3.0,0,32,1,10.66,9,3,2,0,1,scorecard,1,10.66,18.0,18.0,32.0,32.0,50.0,50.0
Craig Young,4.0,0,24,0,6.0,7,0,1,0,0,scorecard,2,7.71,0.0,0.0,0.0,0.0,29.17,39.84
Craig Young,3.3,0,33,0,9.42,10,3,2,0,0,scorecard,2,7.71,0.0,0.0,0.0,0.0,50.51,39.84
Curtis Campher,4.0,0,38,0,9.5,5,3,1,0,0,scorecard,3,6.89,0.0,7.5,0.0,6.75,20.83,36.57
Curtis Campher,3.0,0,14,2,4.66,7,0,0,0,0,scorecard,3,6.89,9.0,7.5,7.0,6.75,38.89,36.57
Curtis Campher,4.0,0,26,4,6.5,12,4,0,2,0,scorecard,3,6.89,6.0,7.5,6.5,6.75,50.0,36.57
Damien Ravu,4.0,0,40,2,10.0,6,4,1,4,0,scorecard,2,9.66,12.0,12.0,20.0,20.0,25.0,34.72
Damien Ravu,3.0,0,28,0,9.33,8,3,1,1,2,scorecard,2,9.66,0.0,12.0,0.0,20.0,44.44,34.72
Dasun Shanaka,2.0,0,18,1,9.0,3,0,1,3,0,scorecard,5,8.2,12.0,9.0,18.0,12.0,25.0,23.33
Dasun Shanaka,1.0,0,6,1,6.0,2,0,0,1,0,scorecard,5,8.2,6.0,9.0,6.0,12.0,33.33,23.33
Dasun Shanaka,2.0,0,14,0,7.0,3,1,0,1,0,scorecard,5,8.2,0.0,9.0,0.0,12.0,25.0,23.33
Dasun Shanaka,1.0,0,7,0,7.0,1,0,0,0,0,scorecard,5,8.2,0.0,9.0,0.0,12.0,16.67,23.33
Dasun Shanaka,2.0,0,24,0,12.0,2,1,2,0,0,scorecard,5,8.2,0.0,9.0,0.0,12.0,16.67,23.33
David Wiese,4.0,0,22,2,5.5,10,2,0,0,0,scorecard,8,7.41,12.0,21.6,11.0,27.0,41.67,37.5
David Wiese,4.0,0,32,1,8.0,7,4,0,0,0,scorecard,8,7.41,24.0,21.6,32.0,27.0,29.17,37.5
David Wiese,4.0,0,33,0,8.25,9,4,1,0,0,scorecard,8,7.41,0.0,21.6,0.0,27.0,37.5,37.5
David Wiese,4.0,0,30,1,7.5,10,2,1,0,0,scorecard,8,7.41,24.0,21.6,30.0,27.0,41.67,37.5
David Wiese,2.0,0,11,0,5.5,3,0,0,1,0,scorecard,8,7.41,0.0,21.6,0.0,27.0,25.0,37.5
David Wiese,4.0,0,40,1,10.0,5,2,2,0,0,scorecard,8,7.41,24.0,21.6,40.0,27.0,20.83,37.5
David Wiese,4.0,0,22,1,5.5,11,2,0,2,0,scorecard,8,7.41,24.0,21.6,22.0,27.0,45.83,37.5
David Wiese,2.0,0,18,0,9.0,7,1,2,0,0,scorecard,8,7.41,0.0,21.6,0.0,27.0,58.33,37.5
Dushmantha Chameera,3.0,0,16,1,5.33,11,3,0,0,0,scorecard,8,8.2,18.0,19.0,16.0,24.25,61.11,41.67
Dushmantha Chameera,4.0,0,27,2,6.75,12,1,2,0,1,scorecard,8,8.2,12.0,19.0,13.5,24.25,50.0,41.67
Dushmantha Chameera,4.0,0,41,1,10.25,9,5,2,0,0,scorecard,8,8.2,24.0,19.0,41.0,24.25,37.5,41.67
Dushmantha Chameera,3.0,0,33,0,11.0,4,4,1,0,1,scorecard,8,8.2,0.0,19.0,0.0,24.25,22.22,41.67
Dushmantha Chameera,2.0,0,13,1,6.5,8,3,0,0,0,scorecard,8,8.2,12.0,19.0,13.0,24.25,66.67,41.67
Dushmantha Chameera,4.0,0,41,0,10.25,4,5,0,0,2,scorecard,8,8.2,0.0,19.0,0.0,24.25,16.67,41.67
Dushmantha Chameera,4.0,0,43,1,10.75,8,3,2,1,0,scorecard,8,8.2,24.0,19.0,43.0,24.25,33.33,41.67
Dushmantha Chameera,4.0,0,19,1,4.75,11,1,0,1,0,scorecard,8,8.2,24.0,19.0,19.0,24.25,45.83,41.67
Dwaine Pretorius,2.0,0,17,3,8.5,5,3,0,0,0,scorecard,5,6.98,4.0,9.25,5.67,9.33,41.67,38.92
Dwaine Pretorius,3.0,0,11,1,3.66,8,0,0,0,0,scorecard,5,6.98,18.0,9.25,11.0,9.33,44.44,38.92
Dwaine Pretorius,3.4,0,26,0,7.09,4,2,0,1,0,scorecard,5,6.98,0.0,9.25,0.0,9.33,19.61,38.92
Dwaine Pretorius,3.0,0,30,2,10.0,7,2,2,0,1,scorecard,5,6.98,9.0,9.25,15.0,9.33,38.89,38.92
Dwaine Pretorius,3.0,0,17,3,5.66,9,2,0,0,0,scorecard,5,6.98,6.0,9.25,5.67,9.33,50.0,38.92
Dwayne Bravo,4.0,0,36,1,9.0,8,2,1,2,0,scorecard,4,8.56,24.0,24.0,36.0,39.0,33.33,32.29
Dwayne Bravo,4.0,0,36,0,9.0,8,3,1,3,0,scorecard,4,8.56,0.0,24.0,0.0,39.0,33.33,32.29
Dwayne Bravo,4.0,0,23,0,5.75,11,3,0,1,0,scorecard,4,8.56,0.0,24.0,0.0,39.0,45.83,32.29
Dwayne Bravo,4.0,0,42,1,10.5,4,3,1,5,0,scorecard,4,8.56,24.0,24.0,42.0,39.0,16.67,32.29
Fayyaz Butt,4.0,0,30,3,7.5,9,2,1,1,0,scorecard,2,8.08,8.0,13.0,10.0,18.0,37.5,40.97
Fayyaz Butt,3.0,0,26,1,8.66,8,2,1,1,1,scorecard,2,8.08,18.0,13.0,26.0,18.0,44.44,40.97
Fred Klaassen,4.0,0,14,1,3.5,15,1,0,1,0,scorecard,3,5.01,24.0,21.0,14.0,16.0,62.5,61.57
Fred Klaassen,2.1,0,12,0,5.53,7,2,0,0,0,scorecard,3,5.01,0.0,21.0,0.0,16.0,55.56,61.57
Fred Klaassen,3.0,0,18,1,6.0,12,3,0,3,0,scorecard,3,5.01,18.0,21.0,18.0,16.0,66.67,61.57
Gerhard Erasmus,4.0,0,22,1,5.5,11,0,1,1,0,scorecard,3,5.83,24.0,24.0,22.0,22.0,45.83,37.5
Gerhard Erasmus,1.0,0,5,0,5.0,2,0,0,1,0,scorecard,3,5.83,0.0,24.0,0.0,22.0,33.33,37.5
Gerhard Erasmus,1.0,0,7,0,7.0,2,1,0,0,0,scorecard,3,5.83,0.0,24.0,0.0,22.0,33.33,37.5
Glenn Maxwell,3.0,0,20,0,6.66,5,2,0,0,0,scorecard,6,7.83,0.0,18.0,0.0,15.0,27.78,40.51
Glenn Maxwell,2.0,0,6,1,3.0,7,0,0,1,0,scorecard,6,7.83,12.0,18.0,6.0,15.0,58.33,40.51
Glenn Maxwell,1.0,0,16,0,16.0,3,1,1,1,0,scorecard,6,7.83,0.0,18.0,0.0,15.0,50.0,40.51
Glenn Maxwell,3.0,0,28,0,9.33,5,0,3,0,0,scorecard,6,7.83,0.0,18.0,0.0,15.0,27.78,40.51
Glenn Maxwell,4.0,0,24,1,6.0,7,2,0,0,0,scorecard,6,7.83,24.0,18.0,24.0,15.0,29.17,40.51
Glenn Maxwell,1.0,0,6,0,6.0,3,1,0,0,0,scorecard,6,7.83,0.0,18.0,0.0,15.0,50.0,40.51
Glenn Phillips,1.0,0,11,0,11.0,1,2,0,0,0,scorecard,1,11.0,0.0,0.0,0.0,0.0,16.67,16.67
Gulbadin Naib,4.0,0,39,1,9.75,5,3,2,0,0,scorecard,3,7.4,24.0,18.0,39.0,24.25,20.83,28.66
Gulbadin Naib,1.1,0,9,0,7.71,1,1,0,0,0,scorecard,3,7.4,0.0,18.0,0.0,24.25,15.15,28.66
Gulbadin Naib,4.0,1,19,2,4.75,12,1,0,1,0,scorecard,3,7.4,12.0,18.0,9.5,24.25,50.0,28.66
Hamid Hassan,4.0,0,34,0,8.5,10,5,1,0,0,scorecard,3,5.14,0.0,8.0,0.0,3.0,41.67,54.63
Hamid Hassan,3.0,0,14,0,4.66,10,2,0,0,0,scorecard,3,5.14,0.0,8.0,0.0,3.0,55.56,54.63
Hamid Hassan,4.0,0,9,3,2.25,16,0,0,1,0,scorecard,3,5.14,8.0,8.0,3.0,3.0,66.67,54.63
Hamza Tahir,4.0,0,24,1,6.0,10,1,1,0,0,scorecard,1,6.0,24.0,24.0,24.0,24.0,41.67,41.67
Hardik Pandya,2.0,0,17,0,8.5,2,2,0,1,0,scorecard,2,10.0,0.0,0.0,0.0,0.0,16.67,20.83
Hardik Pandya,2.0,0,23,0,11.5,3,3,1,0,0,scorecard,2,10.0,0.0,0.0,0.0,0.0,25.0,20.83
Haris Rauf,4.0,0,25,1,6.25,8,1,0,2,0,scorecard,6,7.44,24.0,20.4,25.0,23.9,33.33,38.89
Haris Rauf,4.0,0,25,1,6.25,14,0,2,1,0,scorecard,6,7.44,24.0,20.4,25.0,23.9,58.33,38.89
Haris Rauf,4.0,0,27,1,6.75,7,2,0,1,0,scorecard,6,7.44,24.0,20.4,27.0,23.9,29.17,38.89
Haris Rauf,4.0,0,22,4,5.5,10,2,0,0,0,scorecard,6,7.44,6.0,20.4,5.5,23.9,41.67,38.89
Haris Rauf,4.0,0,37,1,9.25,9,5,1,1,0,scorecard,6,7.44,24.0,20.4,37.0,23.9,37.5,38.89
Haris Rauf,3.0,0,32,0,10.66,6,3,2,0,0,scorecard,6,7.44,0.0,20.4,0.0,23.9,33.33,38.89
Hasan Ali,4.0,0,22,1,5.5,12,2,0,0,0,scorecard,6,8.98,24.0,21.0,22.0,28.75,50.0,35.65
Hasan Ali,4.0,1,33,1,8.25,11,2,1,1,1,scorecard,6,8.98,24.0,21.0,33.0,28.75,45.83,35.65
Hasan Ali,3.0,0,26,0,8.66,4,1,1,0,2,scorecard,6,8.98,0.0,21.0,0.0,28.75,22.22,35.65
Hasan Ali,4.0,0,44,2,11.0,8,5,2,0,0,scorecard,6,8.98,12.0,21.0,22.0,28.75,33.33,35.65
Hasan Ali,4.0,1,38,1,9.5,12,5,1,1,2,scorecard,6,8.98,24.0,21.0,38.0,28.75,50.0,35.65
Hasan Ali,4.0,0,44,0,11.0,3,4,1,0,1,scorecard,6,8.98,0.0,21.0,0.0,28.75,12.5,35.65
