Full Name,Born,Age,Batting Style,Bowling Style,Role,Country
Pathira Vasan Dushmantha Chameera,"January 11, 1992, Ragama",32y 301d,Right hand Bat,Right arm Fast,Bowler,Sri Lanka
Lokuge Dinesh Chandimal,"November 18, 1989, Balapitiya",34y 355d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Sri Lanka
Roston Lamar Chase,"March 22, 1992, Barbados",32y 230d,Right hand Bat,Right arm Offbreak,Allrounder,West Indies
Kyle James Coetzer,"April 14, 1984, Aberdeen",40y 207d,Right hand Bat,Right arm Medium fast,Top order Batter,Scotland
Devon Philip Conway,"July 08, 1991, Johannesburg, Transvaal",33y 122d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand
Benjamin Nicolas Cooper,"February 10, 1992, Lismore, New South Wales",32y 271d,Left hand Bat,Right arm Medium,Middle order Batter,Netherlands
Matthew Henry Cross,"October 15, 1992, Aberdeen",32y 23d,Right hand Bat,,Wicketkeeper Batter,Scotland
Patrick James Cummins,"May 08, 1993, Westmead, Sydney",31y 183d,Right hand Bat,Right arm Fast,Bowler,Australia
Joshua Henry Davey,"August 03, 1990, Aberdeen",34y 96d,Right hand Bat,Right arm Medium fast,Bowler,Scotland
Quinton de Kock,"December 17, 1992, Johannesburg, Gauteng",31y 326d,Left hand Bat,,Wicketkeeper Batter,South Africa
Gareth James Delany,"April 28, 1997, Dublin",27y 193d,Right hand Bat,Legbreak Googly,Batting Allrounder,Ireland
Bas de Leede,"November 15, 1999",24y 358d,Right hand Bat,Right arm Fast medium,Batting Allrounder,Netherlands
Kiplin Doriga,"October 18, 1995",29y 20d,Right hand Bat,,Wicketkeeper Batter,Papua New Guinea
Scott Andrew Edwards,"August 23, 1996, Tonga",28y 76d,Right hand Bat,,Wicketkeeper Batter,Netherlands
Merwe Gerhard Erasmus,"April 11, 1995, Windhoek, Namibia",29y 210d,Right hand Bat,Right arm Offbreak,Allrounder,Namibia
Alasdair Campbell Evans,"January 12, 1989, Pembury, Kent",35y 300d,Right hand Bat,Right arm Medium fast,Bowler,Scotland
Fakhar Zaman,"April 10, 1990, Mardan, North-West Frontier Province",34y 211d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Pakistan
