bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Axar Patel,2.0,0,24,0,12.0,1,1,2,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,0.0,17.33,0.0,21.11,8.33,29.07
Axar Patel,4.0,0,25,2,6.25,10,3,0,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,12.0,17.33,12.5,21.11,41.67,29.07
Axar Patel,4.0,0,17,1,4.25,13,1,0,1,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,24.0,17.33,17.0,21.11,54.17,29.07
Ayush Badoni,1.0,0,6,0,6.0,1,0,0,0,0,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270,2,12.5,0.0,0.0,0.0,0.0,16.67,8.33
Ayush Badoni,1.0,0,19,0,19.0,0,1,2,0,0,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270,2,12.5,0.0,0.0,0.0,0.0,0.0,8.33
Azmatullah Omarzai,2.0,0,13,0,6.5,7,1,1,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,7,8.71,0.0,17.0,0.0,26.17,58.33,47.42
Azmatullah Omarzai,3.0,0,24,1,8.0,9,4,0,1,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,7,8.71,18.0,17.0,24.0,26.17,50.0,47.42
Azmatullah Omarzai,3.0,0,27,2,9.0,10,4,1,2,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,7,8.71,9.0,17.0,13.5,26.17,55.56,47.42
Azmatullah Omarzai,2.0,0,18,0,9.0,7,1,2,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,7,8.71,0.0,17.0,0.0,26.17,58.33,47.42
Azmatullah Omarzai,4.0,0,41,1,10.25,6,7,0,1,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,7,8.71,24.0,17.0,41.0,26.17,25.0,47.42
Azmatullah Omarzai,4.0,0,33,0,8.25,11,5,1,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,7,8.71,0.0,17.0,0.0,26.17,45.83,47.42
Azmatullah Omarzai,3.0,0,30,0,10.0,7,4,1,1,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,7,8.71,0.0,17.0,0.0,26.17,38.89,47.42
Bhuvneshwar Kumar,3.0,0,28,0,9.33,9,4,1,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,50.0,38.89
Bhuvneshwar Kumar,3.0,0,33,0,11.0,7,4,2,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,38.89,38.89
Bhuvneshwar Kumar,4.0,0,12,2,3.0,12,0,0,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,12.0,18.29,6.0,22.38,50.0,38.89
Bhuvneshwar Kumar,4.0,0,51,0,12.75,7,4,3,2,1,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,29.17,38.89
Bhuvneshwar Kumar,4.0,1,22,1,5.5,17,3,1,1,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,24.0,18.29,22.0,22.38,70.83,38.89
Bhuvneshwar Kumar,4.0,0,27,0,6.75,9,3,0,1,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,37.5,38.89
Bhuvneshwar Kumar,4.0,0,53,0,13.25,7,3,5,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,29.17,38.89
Bhuvneshwar Kumar,4.0,0,41,3,10.25,8,4,2,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,8.0,18.29,13.67,22.38,33.33,38.89
Bhuvneshwar Kumar,1.0,0,14,0,14.0,1,3,0,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,16.67,38.89
Bhuvneshwar Kumar,4.0,1,32,2,8.0,13,6,0,2,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,12.0,18.29,16.0,22.38,54.17,38.89
Bhuvneshwar Kumar,4.0,0,38,1,9.5,7,5,1,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,24.0,18.29,38.0,22.38,29.17,38.89
