batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Dinesh Karthik,20,8,13,0,3,250.00,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Phil Salt †,30,20,37,2,2,150.00,https://www.espncricinfo.com/cricketers/phil-salt-669365,scorecard
Sunil Narine,47,22,29,2,5,213.63,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Venkatesh Iyer,50,30,43,3,4,166.66,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Shreyas Iyer (c),39,24,43,2,2,162.50,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Rinku Singh,5,5,7,0,0,100.00,https://www.espncricinfo.com/cricketers/rinku-singh-723105,scorecard
Yashasvi Jaiswal,5,7,11,1,0,71.42,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Jos Buttler,11,16,43,0,0,68.75,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Sanju Samson (c)†,15,14,19,3,0,107.14,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Riyan Parag,84,45,73,7,6,186.66,https://www.espncricinfo.com/cricketers/riyan-parag-1079434,scorecard
Ravichandran Ashwin,29,19,24,0,3,152.63,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Dhruv Jurel,20,12,19,3,0,166.66,https://www.espncricinfo.com/cricketers/dhruv-jurel-1175488,scorecard
Shimron Hetmyer,14,7,16,1,1,200.00,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
David Warner,49,34,55,5,3,144.11,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
Mitchell Marsh,23,12,17,5,0,191.66,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Ricky Bhui,0,2,3,0,0,0.00,https://www.espncricinfo.com/cricketers/ricky-bhui-642531,scorecard
Rishabh Pant (c)†,28,26,42,2,1,107.69,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,scorecard
Tristan Stubbs,44,23,44,2,3,191.30,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,scorecard
Abishek Porel,9,10,10,0,0,90.00,https://www.espncricinfo.com/cricketers/abishek-porel-1277545,scorecard
Axar Patel,15,13,23,1,0,115.38,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Mayank Agarwal,11,13,19,1,0,84.61,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438,scorecard
Travis Head,62,24,39,9,3,258.33,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Abhishek Sharma,63,23,36,3,7,273.91,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Aiden Markram,42,28,59,2,1,150.00,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Heinrich Klaasen †,80,34,43,4,7,235.29,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,scorecard
Rohit Sharma,26,12,20,1,3,216.66,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Ishan Kishan †,34,13,14,2,4,261.53,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,scorecard
Naman Dhir,30,14,35,2,2,214.28,https://www.espncricinfo.com/cricketers/naman-dhir-1287032,scorecard
Tilak Varma,64,34,49,2,6,188.23,https://www.espncricinfo.com/cricketers/tilak-varma-1170265,scorecard
Hardik Pandya (c),24,20,40,1,1,120.00,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,scorecard
Tim David,42,22,29,2,3,190.90,https://www.espncricinfo.com/cricketers/tim-david-892749,scorecard
Romario Shepherd,15,6,7,2,1,250.00,https://www.espncricinfo.com/cricketers/romario-shepherd-677077,scorecard
Ruturaj Gaikwad (c),46,36,62,5,1,127.77,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,scorecard
Rachin Ravindra,46,20,29,6,3,230.00,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,scorecard
Ajinkya Rahane,12,12,19,0,0,100.00,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916,scorecard
Shivam Dube,51,23,44,2,5,221.73,https://www.espncricinfo.com/cricketers/shivam-dube-714451,scorecard
Daryl Mitchell,24,20,41,2,0,120.00,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,scorecard
Sameer Rizvi,14,6,5,0,2,233.33,https://www.espncricinfo.com/cricketers/sameer-rizvi-1175489,scorecard
Ravindra Jadeja,7,3,5,1,0,233.33,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Wriddhiman Saha †,21,17,28,4,0,123.52,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill (c),8,5,17,0,1,160.00,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Sai Sudharsan,37,31,61,3,0,119.35,https://www.espncricinfo.com/cricketers/sai-sudharsan-1151288,scorecard
Vijay Shankar,12,12,13,0,1,100.00,https://www.espncricinfo.com/cricketers/vijay-shankar-477021,scorecard
David Miller,21,16,22,3,0,131.25,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Azmatullah Omarzai,11,10,17,1,0,110.00,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,scorecard
Rahul Tewatia,6,11,20,1,0,54.54,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,scorecard
