batsmanName,runs,balls,minutes,4s,6s,SR,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Glenn Maxwell,59,41,58,6,3,143.9,6,132.23166666666665,9,42,71.1864406779661,66.28923618754126,132,22.0
Glenn Phillips,40,33,40,3,2,121.21,2,110.60499999999999,5,24,60.0,52.22222222222222,58,29.0
Glenn Phillips,18,18,28,2,0,100.0,2,110.60499999999999,2,8,44.44444444444444,52.22222222222222,58,29.0
Gudakesh Motie,4,7,10,1,0,57.14,2,28.57,1,4,100.0,100.0,4,2.0
Gudakesh Motie,0,1,11,0,0,0.0,2,28.57,0,0,,100.0,4,2.0
Gulbadin Naib,0,1,12,0,0,0.0,8,76.61125000000001,0,0,,60.333022097727984,90,11.25
Gulbadin Naib,17,21,25,1,1,80.95,8,76.61125000000001,2,10,58.82352941176471,60.333022097727984,90,11.25
Gulbadin Naib,4,5,6,0,0,80.0,8,76.61125000000001,0,0,0.0,60.333022097727984,90,11.25
Gulbadin Naib,9,8,6,2,0,112.5,8,76.61125000000001,2,8,88.88888888888889,60.333022097727984,90,11.25
Gulbadin Naib,4,3,4,1,0,133.33,8,76.61125000000001,1,4,100.0,60.333022097727984,90,11.25
Gulbadin Naib,7,10,26,1,0,70.0,8,76.61125000000001,1,4,57.14285714285714,60.333022097727984,90,11.25
Gulbadin Naib,49,36,60,4,2,136.11,8,76.61125000000001,6,28,57.14285714285714,60.333022097727984,90,11.25
Gulbadin Naib,0,2,3,0,0,0.0,8,76.61125000000001,0,0,,60.333022097727984,90,11.25
Gulsan Jha,14,15,28,0,1,93.33,2,96.66499999999999,1,6,42.857142857142854,54.76190476190476,20,10.0
Gulsan Jha,6,6,13,1,0,100.0,2,96.66499999999999,1,4,66.66666666666666,54.76190476190476,20,10.0
Hardik Pandya,27,17,24,1,2,158.82,6,160.43,3,16,59.25925925925925,68.16122229890345,144,24.0
Hardik Pandya,50,27,38,4,3,185.18,6,160.43,7,34,68.0,68.16122229890345,144,24.0
Hardik Pandya,7,12,24,1,0,58.33,6,160.43,1,4,57.14285714285714,68.16122229890345,144,24.0
Hardik Pandya,23,13,17,1,2,176.92,6,160.43,3,16,69.56521739130434,68.16122229890345,144,24.0
Hardik Pandya,32,24,40,3,2,133.33,6,160.43,5,24,75.0,68.16122229890345,144,24.0
Hardik Pandya,5,2,7,1,0,250.0,6,160.43,1,4,80.0,68.16122229890345,144,24.0
Haris Rauf,3,3,11,0,0,100.0,1,100.0,0,0,0.0,0.0,3,3.0
Harmeet Singh,10,10,16,0,1,100.0,4,99.06,1,6,60.0,65.02923976608186,69,17.25
Harmeet Singh,0,1,1,0,0,0.0,4,99.06,0,0,,65.02923976608186,69,17.25
Harmeet Singh,38,22,30,2,3,172.72,4,99.06,5,26,68.42105263157895,65.02923976608186,69,17.25
Harmeet Singh,21,17,19,2,1,123.52,4,99.06,3,14,66.66666666666666,65.02923976608186,69,17.25
Harry Brook,20,16,28,2,0,125.0,4,158.7025,2,8,40.0,50.10116419108792,145,36.25
Harry Brook,25,19,21,3,0,131.57,4,158.7025,3,12,48.0,50.10116419108792,145,36.25
Harry Brook,53,37,50,7,0,143.24,4,158.7025,7,28,52.83018867924528,50.10116419108792,145,36.25
Harry Brook,47,20,37,4,2,235.0,4,158.7025,6,28,59.57446808510638,50.10116419108792,145,36.25
Harry Tector,7,5,6,0,0,140.0,3,55.0,0,0,0.0,0.0,11,3.6666666666666665
Harry Tector,0,6,15,0,0,0.0,3,55.0,0,0,,0.0,11,3.6666666666666665
Harry Tector,4,16,-,0,0,25.0,3,55.0,0,0,0.0,0.0,11,3.6666666666666665
Hazratullah Zazai,2,4,20,0,0,50.0,1,50.0,0,0,0.0,0.0,2,2.0
Heinrich Klaasen,8,13,21,1,0,61.53,8,118.22375,1,4,50.0,45.50605287161351,190,23.75
Heinrich Klaasen,3,5,6,0,0,60.0,8,118.22375,0,0,0.0,45.50605287161351,190,23.75
Heinrich Klaasen,22,10,13,3,1,220.0,8,118.22375,4,18,81.81818181818183,45.50605287161351,190,23.75
Heinrich Klaasen,4,7,8,0,0,57.14,8,118.22375,0,0,0.0,45.50605287161351,190,23.75
Heinrich Klaasen,19,22,22,1,1,86.36,8,118.22375,2,10,52.63157894736842,45.50605287161351,190,23.75
Heinrich Klaasen,52,27,33,2,5,192.59,8,118.22375,7,38,73.07692307692307,45.50605287161351,190,23.75
Heinrich Klaasen,46,44,60,2,3,104.54,8,118.22375,5,26,56.52173913043478,45.50605287161351,190,23.75
Heinrich Klaasen,36,22,35,0,3,163.63,8,118.22375,3,18,50.0,45.50605287161351,190,23.75
Henry Ssenyondo,0,1,1,0,0,0.0,1,0.0,0,0,,,0,0.0
Hiri Hiri,2,6,10,0,0,33.33,4,52.3075,0,0,0.0,27.61904761904762,25,6.25
Hiri Hiri,7,11,16,1,0,63.63,4,52.3075,1,4,57.14285714285714,27.61904761904762,25,6.25
Hiri Hiri,1,3,4,0,0,33.33,4,52.3075,0,0,0.0,27.61904761904762,25,6.25
Hiri Hiri,15,19,32,2,0,78.94,4,52.3075,2,8,53.333333333333336,27.61904761904762,25,6.25
Ibrahim Zadran,70,46,66,9,1,152.17,8,84.5275,10,42,60.0,43.178221846952496,231,28.875
Ibrahim Zadran,8,11,9,1,0,72.72,8,84.5275,1,4,50.0,43.178221846952496,231,28.875
Ibrahim Zadran,18,29,46,1,0,62.06,8,84.5275,1,4,22.22222222222222,43.178221846952496,231,28.875
Ibrahim Zadran,51,48,73,6,0,106.25,8,84.5275,6,24,47.05882352941176,43.178221846952496,231,28.875
Ibrahim Zadran,2,5,15,0,0,40.0,8,84.5275,0,0,0.0,43.178221846952496,231,28.875
Ibrahim Zadran,38,28,34,5,1,135.71,8,84.5275,6,26,68.42105263157895,43.178221846952496,231,28.875
Ibrahim Zadran,44,41,66,3,2,107.31,8,84.5275,5,24,54.54545454545454,43.178221846952496,231,28.875
Ibrahim Zadran,0,7,9,0,0,0.0,8,84.5275,0,0,,43.178221846952496,231,28.875
Iftikhar Ahmed,5,9,14,0,0,55.55,2,92.06,0,0,0.0,33.33333333333333,23,11.5
Iftikhar Ahmed,18,14,27,3,0,128.57,2,92.06,3,12,66.66666666666666,33.33333333333333,23,11.5
Imad Wasim,4,6,5,1,0,66.66,2,65.935,1,4,100.0,63.333333333333336,19,9.5
Imad Wasim,15,23,40,1,0,65.21,2,65.935,1,4,26.666666666666668,63.333333333333336,19,9.5
JJ Smit,8,12,13,1,0,66.66,4,59.3725,1,4,50.0,34.848484848484844,22,5.5
JJ Smit,11,8,9,0,1,137.5,4,59.3725,1,6,54.54545454545454,34.848484848484844,22,5.5
JJ Smit,0,1,2,0,0,0.0,4,59.3725,0,0,,34.848484848484844,22,5.5
JJ Smit,3,9,15,0,0,33.33,4,59.3725,0,0,0.0,34.848484848484844,22,5.5
JP Kotze,0,3,2,0,0,0.0,1,0.0,0,0,,,0,0.0
Jack Brassell,2,3,22,0,0,66.66,1,66.66,0,0,0.0,0.0,2,2.0
Jaker Ali,8,9,11,0,0,88.88,3,104.62666666666667,0,0,0.0,28.57142857142857,23,7.666666666666667
Jaker Ali,1,4,3,0,0,25.0,3,104.62666666666667,0,0,0.0,28.57142857142857,23,7.666666666666667
Jaker Ali,14,7,11,3,0,200.0,3,104.62666666666667,3,12,85.71428571428571,28.57142857142857,23,7.666666666666667
James Neesham,10,11,18,0,1,90.9,1,90.9,1,6,60.0,60.0,10,10.0
Jan Frylinck,45,48,77,6,0,93.75,3,65.37333333333333,6,24,53.333333333333336,40.0,58,19.333333333333332
Jan Frylinck,12,14,13,2,0,85.71,3,65.37333333333333,2,8,66.66666666666666,40.0,58,19.333333333333332
Jan Frylinck,1,6,4,0,0,16.66,3,65.37333333333333,0,0,0.0,40.0,58,19.333333333333332
Jasdeep Singh,2,7,11,0,0,28.57,2,30.95,0,0,0.0,0.0,4,2.0
Jasdeep Singh,2,6,7,0,0,33.33,2,30.95,0,0,0.0,0.0,4,2.0
