Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
BTJ Wheal,https://www.espncricinfo.com/cricketers/brad-wheal-807535,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
D Wiese,https://www.espncricinfo.com/cricketers/david-wiese-221140,2022-2022,3,3,1,66,55,33.00,157.14,-,1,1
SC Williams,https://www.espncricinfo.com/cricketers/sean-williams-55870,2022-2022,8,8,-,155,64,19.37,113.13,-,1,-
KS Williamson,https://www.espncricinfo.com/cricketers/kane-williamson-277906,2022-2022,5,5,-,178,61,35.60,116.33,-,1,-
CR Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,2022-2022,6,1,1,5,5*,0.00,166.66,-,-,-
MA Wood,https://www.espncricinfo.com/cricketers/mark-wood-351588,2022-2022,4,-,-,-,-,0.00,0.00,-,-,-
SA Yadav,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,2022-2022,6,6,2,239,68,59.75,189.68,-,3,-
Yasir Ali,https://www.espncricinfo.com/cricketers/yasir-ali-629059,2022-2022,3,3,1,5,3,2.50,55.55,-,-,-
Zahoor Khan,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,2022-2022,3,1,1,1,1*,0.00,100.00,-,-,-
A Zampa,https://www.espncricinfo.com/cricketers/adam-zampa-379504,2022-2022,3,2,1,1,1*,1.00,33.33,-,-,1
Zawar Farid,https://www.espncricinfo.com/cricketers/zawar-farid-1196500,2022-2022,1,1,-,2,2,2.00,50.00,-,-,-
