batsmanName,runs,balls,minutes,4s,6s,SR,match_id
Heinrich Klaasen,36,22,35,0,3,163.63,scorecard
Tristan Stubbs,20,16,24,2,0,125.00,scorecard
Steven Taylor,24,14,16,4,1,171.42,scorecard
Andries Gous †,80,47,88,5,5,170.21,scorecard
Nitish Kumar,8,6,9,0,1,133.33,scorecard
Aaron Jones (c),0,5,4,0,0,0.00,scorecard
Corey Anderson,12,12,10,0,1,100.00,scorecard
Shayan Jahangir,3,9,51,0,0,33.33,scorecard
Harmeet Singh,38,22,30,2,3,172.72,scorecard
Jasdeep Singh,2,6,7,0,0,33.33,scorecard
Brandon King,7,6,9,1,0,116.66,scorecard
Johnson Charles,43,27,43,8,0,159.25,scorecard
Nicholas Pooran †,98,53,86,6,8,184.90,scorecard
Shai Hope,25,17,14,0,2,147.05,scorecard
Rovman Powell (c),26,15,28,1,2,173.33,scorecard
Andre Russell,3,3,9,0,0,100.00,scorecard
Sherfane Rutherford,1,1,1,0,0,100.00,scorecard
Rahmanullah Gurbaz †,0,3,1,0,0,0.00,scorecard
Ibrahim Zadran,38,28,34,5,1,135.71,scorecard
Gulbadin Naib,7,10,26,1,0,70.00,scorecard
Azmatullah Omarzai,23,19,26,1,1,121.05,scorecard
Najibullah Zadran,0,2,1,0,0,0.00,scorecard
Mohammad Nabi,1,4,4,0,0,25.00,scorecard
Karim Janat,14,9,14,0,1,155.55,scorecard
Rashid Khan (c),18,11,18,2,1,163.63,scorecard
Noor Ahmad,2,4,6,0,0,50.00,scorecard
Naveen-ul-Haq,4,6,5,1,0,66.66,scorecard
Fazalhaq Farooqi,0,2,3,0,0,0.00,scorecard
Tony Ura,1,2,6,0,0,50.00,scorecard
Assad Vala (c),6,16,19,1,0,37.50,scorecard
Charles Amini,17,25,40,2,0,68.00,scorecard
Sese Bau,12,27,32,1,0,44.44,scorecard
Hiri Hiri,7,11,16,1,0,63.63,scorecard
Chad Soper,1,6,4,0,0,16.66,scorecard
Kiplin Doriga †,5,7,14,1,0,71.42,scorecard
Norman Vanua,14,13,15,1,1,107.69,scorecard
Alei Nao,3,7,14,0,0,42.85,scorecard
Kabua Morea,0,3,3,0,0,0.00,scorecard
Semo Kamea,1,1,1,0,0,100.00,scorecard
Finn Allen,0,2,3,0,0,0.00,scorecard
Devon Conway †,35,32,45,2,3,109.37,scorecard
Rachin Ravindra,6,11,15,0,0,54.54,scorecard
Kane Williamson (c),18,17,38,2,0,105.88,scorecard
Daryl Mitchell,19,12,13,3,0,158.33,scorecard
Pathum Nissanka,0,2,2,0,0,0.00,scorecard
Kusal Mendis †,46,29,49,5,0,158.62,scorecard
Kamindu Mendis,17,20,24,1,1,85.00,scorecard
Dhananjaya de Silva,34,26,38,3,1,130.76,scorecard
Charith Asalanka,46,21,31,1,5,219.04,scorecard
Angelo Mathews,30,15,27,1,2,200.00,scorecard
Dasun Shanaka,0,1,1,0,0,0.00,scorecard
Wanindu Hasaranga (c),20,6,10,1,2,333.33,scorecard
Michael Levitt,31,23,25,2,3,134.78,scorecard
Max O'Dowd,11,8,20,0,1,137.50,scorecard
Vikramjit Singh,7,10,12,0,0,70.00,scorecard
Sybrand Engelbrecht,11,9,12,0,1,122.22,scorecard
Scott Edwards (c)†,31,24,40,2,1,129.16,scorecard
Bas de Leede,3,5,4,0,0,60.00,scorecard
Logan van Beek,0,1,1,0,0,0.00,scorecard
Tim Pringle,2,4,7,0,0,50.00,scorecard
Aryan Dutt,10,8,11,1,0,125.00,scorecard
Paul van Meekeren,3,8,11,0,0,37.50,scorecard
Vivian Kingma,1,1,2,0,0,100.00,scorecard
Andy Balbirnie,0,3,2,0,0,0.00,scorecard
Paul Stirling (c),1,2,11,0,0,50.00,scorecard
Lorcan Tucker †,2,2,1,0,0,100.00,scorecard
Harry Tector,0,6,15,0,0,0.00,scorecard
Curtis Campher,7,14,26,1,0,50.00,scorecard
George Dockrell,11,10,11,2,0,110.00,scorecard
Gareth Delany,31,19,30,1,3,163.15,scorecard
Mark Adair,15,19,34,2,0,78.94,scorecard
Barry McCarthy,2,7,12,0,0,28.57,scorecard
Josh Little,22,18,26,2,1,122.22,scorecard
Ben White,5,20,24,0,0,25.00,scorecard
Mohammad Rizwan †,17,16,30,2,0,106.25,scorecard
Saim Ayub,17,17,19,2,1,100.00,scorecard
Babar Azam (c),32,34,79,2,0,94.11,scorecard
Fakhar Zaman,5,9,15,0,0,55.55,scorecard
Usman Khan,2,3,4,0,0,66.66,scorecard
Shadab Khan,0,2,3,0,0,0.00,scorecard
Imad Wasim,4,6,5,1,0,66.66,scorecard
Abbas Afridi,17,21,32,1,1,80.95,scorecard
Shaheen Shah Afridi,13,5,23,0,2,260.00,scorecard
George Munsey,35,23,40,2,3,152.17,scorecard
Michael Jones,2,3,2,0,0,66.66,scorecard
Brandon McMullen,60,34,44,2,6,176.47,scorecard
Richie Berrington (c),42,31,48,1,2,135.48,scorecard
Matthew Cross †,18,11,13,1,1,163.63,scorecard
Michael Leask,5,8,9,0,0,62.50,scorecard
Chris Greaves,9,10,15,0,0,90.00,scorecard
Travis Head,68,49,68,5,4,138.77,scorecard
David Warner,1,4,4,0,0,25.00,scorecard
Mitchell Marsh (c),8,9,17,1,0,88.88,scorecard
Glenn Maxwell,11,8,13,0,1,137.50,scorecard
Marcus Stoinis,59,29,35,9,2,203.44,scorecard
Tim David,24,14,19,2,1,171.42,scorecard
Matthew Wade †,4,5,13,0,0,80.00,scorecard
Phil Salt,11,8,11,2,0,137.50,scorecard
Jos Buttler (c)†,0,4,6,0,0,0.00,scorecard
Jonny Bairstow,31,18,27,3,2,172.22,scorecard
Harry Brook,47,20,37,4,2,235.00,scorecard
Moeen Ali,16,6,10,0,2,266.66,scorecard
Liam Livingstone,13,4,4,0,2,325.00,scorecard
Michael van Lingen,33,29,41,1,3,113.79,scorecard
Nikolaas Davin,18,16,26,1,1,112.50,scorecard
David Wiese,27,12,17,2,2,225.00,scorecard
Gerhard Erasmus (c),1,3,5,0,0,33.33,scorecard
JJ Smit,0,1,2,0,0,0.00,scorecard
Ronak Patel,2,20,36,0,0,10.00,scorecard
Simon Ssesazi †,0,1,2,0,0,0.00,scorecard
Robinson Obuya,0,1,1,0,0,0.00,scorecard
Alpesh Ramjani,0,6,15,0,0,0.00,scorecard
Kenneth Waiswa,11,18,22,2,0,61.11,scorecard
Riazat Ali Shah,2,13,21,0,0,15.38,scorecard
Dinesh Nakrani,4,13,24,0,0,30.76,scorecard
Brian Masaba (c),3,20,33,0,0,15.00,scorecard
Fred Achelam,9,13,16,1,0,69.23,scorecard
Juma Miyagi,0,1,2,0,0,0.00,scorecard
Cosmas Kyewuta,1,6,4,0,0,16.66,scorecard
Finn Allen,9,17,24,1,0,52.94,scorecard
Devon Conway †,22,15,31,4,0,146.66,scorecard
Rachin Ravindra,1,1,6,0,0,100.00,scorecard
Reeza Hendricks,43,49,64,5,1,87.75,scorecard
Quinton de Kock †,10,11,14,1,0,90.90,scorecard
Aiden Markram (c),15,22,27,2,0,68.18,scorecard
Heinrich Klaasen,3,5,6,0,0,60.00,scorecard
David Miller,7,10,18,0,0,70.00,scorecard
Tristan Stubbs,27,18,18,2,1,150.00,scorecard
Marco Jansen,1,4,9,0,0,25.00,scorecard
Kagiso Rabada,0,1,1,0,0,0.00,scorecard
Kushal Bhurtel,13,21,31,1,1,61.90,scorecard
Aasif Sheikh †,42,49,77,4,1,85.71,scorecard
Rohit Paudel (c),0,2,1,0,0,0.00,scorecard
Anil Sah,27,24,25,3,1,112.50,scorecard
Dipendra Singh Airee,6,11,15,0,0,54.54,scorecard
Kushal Malla,1,3,4,0,0,33.33,scorecard
Gulsan Jha,6,6,13,1,0,100.00,scorecard
Sompal Kami,8,4,9,0,1,200.00,scorecard
Tony Ura,11,18,31,1,0,61.11,scorecard
Assad Vala (c),3,2,9,0,0,150.00,scorecard
Lega Siaka,0,1,1,0,0,0.00,scorecard
Sese Bau,0,1,1,0,0,0.00,scorecard
Hiri Hiri,1,3,4,0,0,33.33,scorecard
Chad Soper,9,26,27,0,0,34.61,scorecard
Kiplin Doriga †,27,32,46,2,0,84.37,scorecard
Norman Vanua,0,7,10,0,0,0.00,scorecard
Alei Nao,13,19,25,2,0,68.42,scorecard
John Kariko,4,7,10,1,0,57.14,scorecard
Semo Kamea,2,3,7,0,0,66.66,scorecard
Rahmanullah Gurbaz †,11,7,15,1,1,157.14,scorecard
Ibrahim Zadran,0,7,9,0,0,0.00,scorecard
Gulbadin Naib,49,36,60,4,2,136.11,scorecard
Azmatullah Omarzai,13,18,26,1,0,72.22,scorecard
Mohammad Nabi,16,23,27,1,0,69.56,scorecard
Pratik Athavale †,5,3,6,1,0,166.66,scorecard
Kashyap Prajapati,9,16,28,0,1,56.25,scorecard
Aqib Ilyas (c),8,10,9,1,0,80.00,scorecard
Zeeshan Maqsood,1,5,7,0,0,20.00,scorecard
Khalid Kail,1,3,6,0,0,33.33,scorecard
Ayaan Khan,1,5,11,0,0,20.00,scorecard
Shoaib Khan,11,23,31,1,0,47.82,scorecard
Mehran Khan,0,2,2,0,0,0.00,scorecard
Fayyaz Butt,2,7,7,0,0,28.57,scorecard
Kaleemullah,5,5,8,1,0,100.00,scorecard
Bilal Khan,0,1,3,0,0,0.00,scorecard
Phil Salt,12,3,2,0,2,400.00,scorecard
Jos Buttler (c)†,24,8,17,4,1,300.00,scorecard
Will Jacks,5,7,7,1,0,71.42,scorecard
Jonny Bairstow,8,2,6,2,0,400.00,scorecard
Tanzid Hasan,35,26,45,5,1,134.61,scorecard
Najmul Hossain Shanto (c),1,3,6,0,0,33.33,scorecard
Litton Das †,1,2,12,0,0,50.00,scorecard
Shakib Al Hasan,64,46,74,9,0,139.13,scorecard
Towhid Hridoy,9,15,13,0,0,60.00,scorecard
Mahmudullah,25,21,22,2,2,119.04,scorecard
Jaker Ali,14,7,11,3,0,200.00,scorecard
Michael Levitt,18,16,17,2,1,112.50,scorecard
Max O'Dowd,12,16,23,3,0,75.00,scorecard
Vikramjit Singh,26,16,22,0,3,162.50,scorecard
Sybrand Engelbrecht,33,22,36,3,1,150.00,scorecard
Scott Edwards (c)†,25,23,28,3,0,108.69,scorecard
Bas de Leede,0,2,1,0,0,0.00,scorecard
Logan van Beek,2,3,10,0,0,66.66,scorecard
Tim Pringle,1,10,16,0,0,10.00,scorecard
Aryan Dutt,15,12,11,1,1,125.00,scorecard
Brandon King,9,12,36,0,1,75.00,scorecard
Johnson Charles,0,5,3,0,0,0.00,scorecard
Nicholas Pooran †,17,12,12,3,0,141.66,scorecard
Roston Chase,0,3,3,0,0,0.00,scorecard
Rovman Powell (c),1,5,5,0,0,20.00,scorecard
Sherfane Rutherford,68,39,72,2,6,174.35,scorecard
Akeal Hosein,15,17,17,0,1,88.23,scorecard
Andre Russell,14,7,8,2,1,200.00,scorecard
Romario Shepherd,13,13,19,0,1,100.00,scorecard
Alzarri Joseph,6,6,6,1,0,100.00,scorecard
Gudakesh Motie,0,1,11,0,0,0.00,scorecard
Devon Conway †,5,8,13,0,0,62.50,scorecard
Finn Allen,26,23,25,3,1,113.04,scorecard
Rachin Ravindra,10,13,27,0,0,76.92,scorecard
Kane Williamson (c),1,2,4,0,0,50.00,scorecard
Daryl Mitchell,12,13,18,1,0,92.30,scorecard
Glenn Phillips,40,33,40,3,2,121.21,scorecard
James Neesham,10,11,18,0,1,90.90,scorecard
Mitchell Santner,21,12,24,0,3,175.00,scorecard
Tim Southee,0,1,1,0,0,0.00,scorecard
Trent Boult,7,4,5,0,1,175.00,scorecard
Lockie Ferguson,0,0,3,0,0,-,scorecard
Shayan Jahangir,0,1,1,0,0,0.00,scorecard
Steven Taylor,24,30,57,0,2,80.00,scorecard
Andries Gous †,2,5,4,0,0,40.00,scorecard
Aaron Jones (c),11,22,29,0,1,50.00,scorecard
Nitish Kumar,27,23,33,2,1,117.39,scorecard
Corey Anderson,15,12,25,1,1,125.00,scorecard
Harmeet Singh,10,10,16,0,1,100.00,scorecard
Shadley van Schalkwyk,11,10,15,1,0,110.00,scorecard
Jasdeep Singh,2,7,11,0,0,28.57,scorecard
Rohit Sharma (c),3,6,12,0,0,50.00,scorecard
Virat Kohli,0,1,1,0,0,0.00,scorecard
Rishabh Pant †,18,20,38,1,1,90.00,scorecard
Suryakumar Yadav,50,49,80,2,2,102.04,scorecard
Shivam Dube,31,35,51,1,1,88.57,scorecard
Michael van Lingen,10,10,20,2,0,100.00,scorecard
Nikolaas Davin,2,7,12,0,0,28.57,scorecard
Jan Frylinck,1,6,4,0,0,16.66,scorecard
Gerhard Erasmus (c),36,43,64,4,1,83.72,scorecard
JJ Smit,3,9,15,0,0,33.33,scorecard
Zane Green †,1,4,6,0,0,25.00,scorecard
David Wiese,1,7,7,0,0,14.28,scorecard
Ruben Trumpelmann,7,7,8,0,1,100.00,scorecard
Bernard Scholtz,0,2,1,0,0,0.00,scorecard
Jack Brassell,2,3,22,0,0,66.66,scorecard
Ben Shikongo,0,4,3,0,0,0.00,scorecard
David Warner,20,8,7,3,1,250.00,scorecard
Travis Head,34,17,24,5,2,200.00,scorecard
Mitchell Marsh (c),18,9,16,3,1,200.00,scorecard
Aaron Johnson,52,44,64,4,4,118.18,scorecard
Navneet Dhaliwal,4,7,13,1,0,57.14,scorecard
Pargat Singh,2,6,9,0,0,33.33,scorecard
Nicholas Kirton,1,6,10,0,0,16.66,scorecard
Shreyas Movva †,2,9,11,0,0,22.22,scorecard
Ravinderpal Singh,0,2,1,0,0,0.00,scorecard
Saad Bin Zafar (c),10,21,29,1,0,47.61,scorecard
Kaleem Sana,13,14,27,0,1,92.85,scorecard
Dilon Heyliger,9,11,12,1,0,81.81,scorecard
Mohammad Rizwan †,53,53,83,2,1,100.00,scorecard
Saim Ayub,6,12,22,0,0,50.00,scorecard
Babar Azam (c),33,33,43,1,1,100.00,scorecard
Fakhar Zaman,4,6,15,0,0,66.66,scorecard
Usman Khan,2,1,1,0,0,200.00,scorecard
Quinton de Kock †,18,11,13,1,2,163.63,scorecard
Reeza Hendricks,0,1,4,0,0,0.00,scorecard
Aiden Markram (c),4,8,14,1,0,50.00,scorecard
Tristan Stubbs,0,5,9,0,0,0.00,scorecard
Heinrich Klaasen,46,44,60,2,3,104.54,scorecard
David Miller,29,38,62,1,1,76.31,scorecard
Marco Jansen,5,5,13,0,0,100.00,scorecard
