bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0,scorecard
Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1,scorecard
Adam Zampa,4,0,19,2,4.75,9,1,0,0,0,scorecard
Marcus Stoinis,1,0,6,1,6.00,2,0,0,0,0,scorecard
Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0,scorecard
Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0,scorecard
Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0,scorecard
Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0,scorecard
Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0,scorecard
Aiden Markram,1,0,5,0,5.00,1,0,0,0,0,scorecard
Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0,scorecard
Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0,scorecard
Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0,scorecard
Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0,scorecard
Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0,scorecard
Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0,scorecard
Naseem Shah,4,0,11,1,2.75,15,0,0,0,0,scorecard
Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0,scorecard
Haris Rauf,3,0,10,1,3.33,11,1,0,0,0,scorecard
Shadab Khan,4,0,22,3,5.50,11,2,0,0,0,scorecard
Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0,scorecard
Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0,scorecard
Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0,scorecard
Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0,scorecard
Tim Pringle,1,0,12,0,12.00,1,2,0,0,0,scorecard
Logan van Beek,2,0,9,0,4.50,5,0,0,0,0,scorecard
Roelof van der Merwe,1,0,7,0,7.00,1,0,0,0,0,scorecard
Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0,scorecard
Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0,scorecard
Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0,scorecard
Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0,scorecard
Brad Evans,3,0,32,0,10.66,2,3,1,1,0,scorecard
Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0,scorecard
Sean Williams,2,0,10,1,5.00,4,0,0,1,0,scorecard
Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0,scorecard
Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0,scorecard
Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1,scorecard
Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0,scorecard
Shakib Al Hasan,4,0,34,0,8.50,5,3,0,0,0,scorecard
Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0,scorecard
Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2,scorecard
Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0,scorecard
Wanindu Hasaranga,4,0,22,1,5.50,9,1,0,0,0,scorecard
